Question, -0.8, -0.67, -0.47, -0.13, 0.0, 0.07, 0.33, -0.33, -0.17, -0.27, 0.08, -1.0, -0.5
IPC033-231 v1,6.0,22.0,2.0,9.0,23.0,2.0,1.0,,,,,,
IPC033-232 v1,1.0,37.0,1.0,,18.0,,7.0,1.0,,,,,
IPC033-233 v1,1.0,39.0,3.0,,7.0,,13.0,,2.0,,,,
IPC033-234 v1,1.0,16.0,4.0,,7.0,,34.0,,1.0,1.0,1.0,,
IPC033-235 v1,,7.0,1.0,,25.0,,28.0,,,,1.0,3.0,
IPC033-236 v1,2.0,11.0,2.0,,13.0,,36.0,,,,,,1.0
IPC033-246 v1,1.0,3.0,3.0,,34.0,,23.0,,,,,1.0,
IPC033-253 v1,1.0,26.0,4.0,,10.0,,23.0,,,,1.0,,
MSE,0.207,,,,,,,,,,,,
MAD,0.364,,,,,,,,,,,,
