Question,Original 0.0,Original 0.6,Original 0.8,Original 1.0,Final 0.0,Final 0.285714,Final 0.571429,Final 0.714286,Final 0.857143,Final 1.0,Original 0.5,Original 0.25,Final 0.142857,File,Final 0.166667,Final 0.333333,Final 0.5,Final 0.666667,Final 0.833333,Final 0.111111,Final 0.777778,Final 0.888889,Final 0.75,Final 0.25,Final 0,Final 1,Final 0.428571,Final 0.2,Final 0.4,Final 0.6,Final 0.8,Final 0.125,Final 0.625,Final 0.875,Final 0.916667,Final 0.416667,Final 0.0833333
Total,261.0,3.0,42.0,207.0,103.0,192.0,4.0,8.0,14.0,194.0,4.0,3.0,5.0,summary_score_frequencies__3_2_2.csv,,,,,,,,,,,,,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,103.0,,,,,41.0,4.0,3.0,,summary_score_frequencies__3_3_0.csv,7.0,320.0,4.0,33.0,12.0,,,,,,,,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,108.0,,,,,194.0,4.0,3.0,,summary_score_frequencies__2_2_3.csv,,26.0,,4.0,,166.0,8.0,14.0,,,,,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,243.0,,,,,178.0,4.0,3.0,,summary_score_frequencies__0_2_3.csv,,,,,,,,,8.0,26.0,49.0,16.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,124.0,,,,,193.0,4.0,3.0,,summary_score_frequencies__2_0_2.csv,,201.0,,2.0,,,,,,,,,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,243.0,,,,,178.0,4.0,3.0,,summary_score_frequencies__0_3_3.csv,,26.0,,8.0,,,,,,,49.0,16.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,108.0,,4.0,8.0,14.0,194.0,4.0,3.0,166.0,summary_score_frequencies__2_3_3.csv,,,,,,,,,,,,,26.0,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,57.0,,,,,245.0,4.0,3.0,,summary_score_frequencies__3_0_0.csv,,,23.0,,,,,,,,46.0,149.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,110.0,,,,,41.0,4.0,3.0,,summary_score_frequencies__2_3_0.csv,,,,,,,,,,,,,,320.0,4.0,33.0,12.0,,,,,,
Total,261.0,3.0,42.0,207.0,,,,,,,4.0,3.0,,summary_score_frequencies__0_0_2.csv,,,,,,,,,,,327.0,193.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,103.0,,,,,193.0,4.0,3.0,,summary_score_frequencies__3_0_2.csv,,,,,,,,,,,,,,21.0,201.0,,2.0,,,,,,
Total,261.0,3.0,42.0,207.0,319.0,,,,,39.0,4.0,3.0,,summary_score_frequencies__0_3_0.csv,,,32.0,,,,,,,,128.0,2.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,31.0,,,,,91.0,4.0,3.0,,summary_score_frequencies__0_3_2.csv,,,8.0,,,,,,,,287.0,103.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,108.0,,,,,194.0,4.0,3.0,,summary_score_frequencies__2_3_2.csv,,,,,,,,,,,,,,192.0,4.0,8.0,14.0,,,,,,
Total,261.0,3.0,42.0,207.0,114.0,,,,,41.0,4.0,3.0,,summary_score_frequencies__2_2_0.csv,,353.0,,12.0,,,,,,,,,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,103.0,,,,,193.0,4.0,3.0,,summary_score_frequencies__3_0_3.csv,,,,,,,,,,174.0,,,,,,,,21.0,27.0,2.0,,,
Total,261.0,3.0,42.0,207.0,108.0,,,,,194.0,4.0,3.0,,summary_score_frequencies__2_2_2.csv,,,,,,,,,,,,,,192.0,4.0,8.0,14.0,,,,,,
Total,261.0,3.0,42.0,207.0,,,,,,,4.0,3.0,,summary_score_frequencies__0_0_0.csv,,,,,,,,,,,520.0,,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,124.0,,,,,193.0,4.0,3.0,,summary_score_frequencies__2_0_3.csv,,,,,,,,,,,,,,174.0,,27.0,2.0,,,,,,
Total,261.0,3.0,42.0,207.0,103.0,,,,,194.0,4.0,3.0,,summary_score_frequencies__3_3_3.csv,,,26.0,,,,,,8.0,166.0,,,,,,,,5.0,4.0,14.0,,,
Total,261.0,3.0,42.0,207.0,103.0,,,,,41.0,4.0,3.0,,summary_score_frequencies__3_2_0.csv,,,353.0,,,,,,12.0,11.0,,,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,231.0,,,,,132.0,4.0,3.0,,summary_score_frequencies__0_0_3.csv,,,27.0,,,,,,,,69.0,61.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,,,,,,,4.0,3.0,,summary_score_frequencies__0_2_0.csv,,,,,,,,,,,479.0,41.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,,,,,,,4.0,3.0,,summary_score_frequencies__2_0_0.csv,,,,,,,,,,,126.0,394.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,103.0,,,,,194.0,4.0,3.0,,summary_score_frequencies__3_3_2.csv,5.0,192.0,4.0,8.0,14.0,,,,,,,,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,31.0,,,,,91.0,4.0,3.0,,summary_score_frequencies__0_2_2.csv,,,8.0,,,,,,,,287.0,103.0,,,,,,,,,,,
Total,261.0,3.0,42.0,207.0,103.0,,,,,194.0,4.0,3.0,,summary_score_frequencies__3_2_3.csv,166.0,,,,8.0,,,,4.0,,,,,,,,,,,,14.0,26.0,5.0
