Question, -1.0, -0.62, -0.6, -0.5, -0.12, 0.0, 0.12, 0.38, 0.5, -0.43, 0.75, 0.88, 0.08, 0.25, -0.88, -0.05, 0.2, 0.62, 1.0, -0.25, -0.22
IPC033-289 v1,1.0,9.0,1.0,3.0,47.0,62.0,15.0,108.0,1.0,,,,,,,,,,,,
IPC033-290 v1,,21.0,,,,122.0,1.0,101.0,,2.0,4.0,1.0,,,,,,,,,
IPC033-291 v1,1.0,,,,,96.0,1.0,96.0,48.0,2.0,,,7.0,2.0,,,,,,,
IPC033-292 v1,,1.0,,,,180.0,1.0,17.0,3.0,7.0,7.0,,,,1.0,25.0,10.0,1.0,1.0,,
IPC033-293 v1,,,,,1.0,171.0,,27.0,2.0,9.0,9.0,,,,,21.0,13.0,,,1.0,
IPC033-294 v1,,,,,,146.0,,44.0,23.0,8.0,6.0,,,,,15.0,8.0,,2.0,1.0,1.0
IPC033-295 v1,,,,,,202.0,,30.0,,,17.0,3.0,,,,,,,2.0,,
IPC033-309 v1,1.0,,,,,107.0,11.0,115.0,3.0,2.0,,,,,,,,,,,
MSE,0.078,,,,,,,,,,,,,,,,,,,,
MAD,0.171,,,,,,,,,,,,,,,,,,,,
